31.13.88.26    www.google.com
31.13.73.169    www.google.com.hk
199.59.148.96    id.google.com.hk
142.251.211.234    ogads-pa.googleapis.com
142.251.211.238    ww.google.com
46.82.174.69    google.com
93.46.8.90    accounts.google.com
142.250.217.78    workspace.google.com
172.217.14.238    meet.google.com
8.7.198.46    play.google.com
142.251.33.74    signaler-pa.clients6.google.com
142.251.215.234    ogads-pa.clients6.google.com
172.217.14.206    apis.google.com
142.250.217.97    lh3.googleusercontent.com
142.250.99.84    myaccount.google.com
172.217.14.238    calendar.google.com
142.251.211.238    ogs.google.com
172.217.14.238    slides.google.com
199.59.148.20    docs.google.com
142.251.33.78    gds.google.com
142.251.33.78    lh3.google.com
142.251.211.238    clients6.google.com
142.250.69.202    waa-pa.clients6.google.com
108.160.163.108    drive.google.com
142.250.217.74    drivefrontend-pa.clients6.google.com
142.251.211.234    people-pa.clients6.google.com
142.250.217.97    drive-thirdparty.googleusercontent.com
142.251.33.74    addons-pa.clients6.google.com
142.250.217.74    youtube.googleapis.com
142.251.211.238    apps.google.com
199.16.156.38    chatgpt.com
108.160.163.112    ab.chatgpt.com
172.64.146.15    auth.openai.com
172.64.152.228    auth0.openai.com
104.18.41.158    cdn.oaistatic.com
104.18.94.41    challenges.cloudflare.com
